aardappel|"<div class=""article""><div class=""k"">aardappel</div>aardappel<br/> * eetbare knol van een plant<br/>vb:Nederlanders eten vaak aardappelen, groente en vlees</div>"
aardbei|"<div class=""article""><div class=""k"">aardbei</div>aardbei<br/> * rode, zoete  vrucht<br/>vb:we eten vandaag aardbeien met slagroom</div>"
aarde|"<div class=""article""><div class=""k"">aarde</div>aarde<br/> * wereldbol waar wij op wonen<br/>vb:de aarde draait om de zon in het heelal<br/>synoniem: aardbol<br/> * bodemlaag waarin planten en bomen groeien<br/>vb:we hebben de tuin opgehoogd met aarde<br/><br/> * mijn opmerking viel niet in goede aarde<br/> [men vond die opmerking niet leuk]<br/><br/>synoniem: grond</div>"
aardewerk|"<div class=""article""><div class=""k"">aardewerk</div>aardewerk<br/> * gebakken aarde of klei<br/>vb:dit servies is van aardewerk<br/>synoniem: keramiek</div>"
aardgas|"<div class=""article""><div class=""k"">aardgas</div>aardgas<br/> * gas dat uit de bodem komt<br/>vb:wij koken op aardgas</div>"
aardig|"<div class=""article""><div class=""k"">aardig</div>aardig<br/> * plezierig om te zien<br/>vb:wat een aardig huis is dat<br/>synoniem: lief<br/>tegenstelling: lelijk<br/> * nogal groot<br/>vb:het is een aardig eind fietsen<br/>synoniem: behoorlijk<br/> * met zorg en aandacht voor anderen<br/>vb:Tina is altijd erg aardig voor ons<br/>synoniemen: attent vriendelijk<br/>tegenstelling: bot [2]</div>"
aarzelen|"<div class=""article""><div class=""k"">aarzelen</div>aarzelen<br/> * je bent onzeker en je wacht nog even voordat je iets doet<br/>vb:toen hij vroeg of ik over die sloot wilde springen, aarzelde ik<br/>synoniemen: weifelen twijfelen<br/>tegenstellingen: durven wagen</div>"
absent|"<div class=""article""><div class=""k"">absent</div>absent<br/> * niet (meer) aanwezig<br/>vb:twee leerlingen waren vandaag absent<br/>synoniem: weg<br/>tegenstellingen: aanwezig present</div>"
absoluut|"<div class=""article""><div class=""k"">absoluut</div>absoluut<br/> * zonder beperkingen, helemaal<br/>vb:Tina is absoluut betrouwbaar<br/>synoniemen: volkomen volstrekt beslist ongetwijfeld<br/>tegenstelling: betrekkelijk</div>"
abstract|"<div class=""article""><div class=""k"">abstract</div>abstract<br/> * je kunt het niet zien of vastpakken<br/>vb:het woord 'liefde' heeft een abstracte betekenis</div>"
accent|"<div class=""article""><div class=""k"">accent</div>accent<br/> * zwaardere toon waarmee je een lettergreep uitspreekt<br/>vb:het accent in 'aanraden' ligt op de eerste lettergreep<br/>synoniemen: nadruk klemtoon<br/> * manier waarop je de woorden uitspreekt<br/>vb:hij spreekt Nederlands met een Engels accent</div>"
accepteren|"<div class=""article""><div class=""k"">accepteren</div>accepteren<br/> * overnemen, ermee akkoord gaan<br/>vb:ik kan zo'n duur cadeau niet accepteren!<br/>synoniemen: aannemen aanvaarden<br/> * iemand goed vinden<br/>vb:hij wordt door zijn ouders niet geaccepteerd</div>"
achten|"<div class=""article""><div class=""k"">achten</div>achten<br/> * iets vinden<br/>vb:ik acht hem niet in staat iets slechts te doen<br/> * respect voor hem hebben<br/>vb:ik acht deze rechter heel hoog<br/><br/> * geachte aanwezigen<br/> [respectvolle groet]<br/> * geachte heer ..../geachte mevrouw ....<br/> [groet boven een brief]<br/><br/>synoniem: waarderen<br/>tegenstelling: minachten</div>"
achter|"<div class=""article""><div class=""k"">achter</div>achter<br/> * waar het niet te zien is, aan de andere kant<br/>vb:achter het huis hebben we een tuin<br/><br/> * Theo is achter in de dertig<br/> [Theo is bijna veertig]<br/> * twee keer achter elkaar<br/> [twee opeenvolgende keren]<br/> * zij zijn erachter gekomen<br/> [zij hebben ontdekt hoe het zit]<br/><br/>tegenstelling: voor</div>"
achteraan|"<div class=""article""><div class=""k"">achteraan</div>achteraan<br/> * op de laatste plaats, bij de laatsten<br/>vb:hij liep helemaal achteraan<br/>tegenstelling: kop</div>"
achterbaks|"<div class=""article""><div class=""k"">achterbaks</div>achterbaks<br/> * niet eerlijk, niet te vertrouwen<br/>vb:die jongen gedraagt zich achterbaks<br/>synoniem: stiekem<br/>tegenstellingen: eerlijk oprecht</div>"
